3,-83,-82,63,14,85,-97,71,-100,-16,-67,-25,42,-9,36,-42,8,-41,-71,-88,75,25,-43,-40,-41,-31,-2,35,-13,-42,-5,2,100,76,-20,47,55,-71,3,-26,67,53,41,-70,3,-90,-66,24,-25,-69,-79,-21,40,-32,5,9,24,94,-9,-90,-4,-27,77,-99,57,-65,47,81,-35,-15,-91,-75,-96,52,5,59,-15,-18,60,21,-65,41,-54,-43,100,56,-3,27,10,86,-46,57,-96,87,-30,45,-96,27,14,-98,-75
-57,-19,77,-100,77,-29,98,66,58,-49,50,94,-24,61,-50,-6,-35,27,56,29,79,-65,7,-61,-79,-62,-15,-57,33,-73,60,88,-50,5,96,-11,61,3,51,-47,72,49,17,63,82,35,96,5,-11,-44,72,-87,-33,98,-33,-78,12,-82,11,-62,-99,76,-84,-22,-100,-71,65,96,69,82,-52,-39,25,89,-78,-85,-17,34,-32,-31,-35,-33,7,82,-42,100,-79,-94,-33,-67,-67,-86,75,-90,-7,-82,-25,-90,37,47,95
14,18,-71,31,98,68,-78,31,37,-75,39,-48,-46,47,-34,76,29,53,-47,22,-3,-88,-50,-33,-28,48,19,53,-96,-93,44,30,-76,51,35,-56,40,-48,24,88,-26,42,49,30,-96,79,-100,-99,-47,45,6,-38,-19,31,94,-96,-63,-61,-29,-84,-52,-24,-69,-22,-30,-17,37,-39,41,31,50,-11,10,4,81,62,-70,100,-38,-19,-69,-37,25,26,1,-61,41,-43,59,40,-75,67,48,-12,-27,-91,70,69,-66,-31,45
67,-94,-5,42,42,-74,38,-5,27,-29,75,37,54,6,-79,31,-76,-80,4,-95,98,-25,17,29,-20,62,38,-19,-98,-54,-61,-11,22,7,72,66,-58,-60,-30,-73,-16,7,9,-94,-24,-53,75,41,46,45,70,90,24,-33,-68,-82,64,50,-16,59,-6,-100,-15,76,93,80,96,28,-92,97,10,-58,-47,86,72,-96,34,14,-49,-40,35,-21,-74,6,-17,-72,-2,-74,52,0,39,-45,90,-47,-85,24,99,-87,64,48,-15
4,-67,-6,66,-73,41,70,50,11,38,-31,77,54,75,81,-36,29,12,78,45,64,100,-22,-46,32,50,-64,-49,-83,-4,49,33,40,25,66,35,26,-90,72,19,79,86,-83,48,34,60,50,96,12,35,4,-100,86,49,-43,89,-14,6,-67,-97,-90,-51,40,-79,21,95,9,94,69,38,-63,-36,-20,-42,8,9,-93,-53,63,50,-55,18,-22,-82,-9,21,25,79,16,95,83,-48,-46,-44,-41,-70,-76,-80,53,89,-72
-100,58,-16,6,-16,18,100,-75,-26,-22,43,89,20,-61,89,-72,-58,-97,49,-26,-49,90,-37,-65,-74,-75,-96,26,-6,23,-21,18,57,-48,-37,26,14,-8,-37,1,68,92,-44,-27,13,-7,89,33,48,-48,-85,61,-12,11,10,44,-94,-13,78,-35,76,-60,-84,-85,-54,-31,-82,-79,-9,-14,59,-94,-86,-39,15,62,-75,43,85,42,35,89,39,-11,-49,59,-31,-31,8,38,89,-64,-49,-5,53,52,-41,-100,-85,-99,56
11,-61,-80,84,64,-4,-8,14,52,0,-83,-60,-97,97,50,-10,36,72,2,-82,-3,-2,-84,10,22,-94,-98,85,51,-86,-62,-92,62,82,-74,-75,92,-15,14,-76,-30,24,95,-10,-61,-45,19,-61,80,70,85,34,22,76,50,75,-75,78,81,14,59,58,73,67,8,-36,-80,-84,-53,-79,95,93,-13,-41,2,-86,-2,28,54,45,-13,-13,63,95,85,-25,90,31,55,-69,-99,62,-43,-94,-48,-80,-39,8,64,-91,-5
18,-98,-64,62,-38,57,-43,-98,76,-19,61,-61,-33,95,50,90,19,-78,-94,-31,-87,-82,63,35,45,1,-91,-20,-1,37,61,22,16,34,81,28,34,99,95,78,-86,-89,42,-37,38,-87,32,51,75,65,-89,95,25,89,57,-21,-9,76,73,17,-19,37,-89,25,-62,45,-13,-8,-23,11,-31,53,-30,9,34,1,-34,-80,20,-98,87,-80,-63,-96,26,97,5,-1,78,9,-88,74,-43,-19,18,63,-16,-64,-17,-46,19
-2,80,63,-53,27,-10,-29,-37,71,-89,18,-60,72,34,98,-94,-4,93,15,55,61,-4,-45,-76,-57,-77,12,97,-34,-11,91,30,16,48,77,92,80,-2,79,6,-98,-45,-5,-22,-94,-23,-4,10,78,-18,-8,90,-38,1,76,-97,-37,41,11,3,-65,35,-84,-67,81,-34,89,83,-34,81,-65,8,45,37,42,-62,-74,-63,53,22,40,-5,1,-16,13,49,-43,-86,59,38,-25,-28,-96,58,-65,-18,-35,21,-84,-8,-60
40,31,6,65,-24,-41,-70,47,45,96,-7,14,28,79,36,6,-68,-70,-60,-80,-89,-33,-78,85,-82,-49,-11,29,-14,-14,-2,-24,-53,-75,1,-44,-60,22,28,41,-52,-62,40,78,60,-49,12,-87,66,-68,-8,-26,61,-38,-84,0,47,17,98,-42,99,-63,-77,5,-82,-47,29,91,24,88,32,-20,43,62,11,75,-12,38,-70,100,2,-8,-18,-57,48,60,9,-11,76,30,-34,-35,58,-38,-45,-15,-47,100,-38,95,52
