    Nomer       lim1       lim2            a            b                  result
        1          2         10           54           77                0.090661
        2         43         32           54           77               -0.006483
        3         17         18           54           77                0.001788
        4         43         10           54           77               -0.042863
        5         60         48           54           77               -0.004093
        6         70         70           54           77                0.000000
        7         64          4           54           77               -0.095177
        8          7         32           54           77                0.051900
        9         54         66           54           77                0.003494
       10         41         82           54           77                0.012293
       11         72         97           54           77                0.004403
       12         54         33           54           77               -0.010167
       13         11         62           54           77                0.045950
       14         78         43           54           77               -0.010555
       15         10         27           54           77                0.032214
       16         16         29           54           77                0.016935
       17         45         53           54           77                0.003142
       18         46         88           54           77                0.010989
       19         52         95           54           77                0.009718
       20         64         96           54           77                0.006186
       21         25         68           54           77                0.021038
       22         29         68           54           77                0.017244
       23         70          7           54           77               -0.067242
       24         26         23           54           77               -0.003280
       25         67         85           54           77                0.003695
       26         35         79           54           77                0.015168
       27         68          1           54           77               -0.197812
       28         61         39           54           77               -0.008607
       29         92          1           54           77               -0.202400
       30         47         43           54           77               -0.001777
       31         47         78           54           77                0.008778
       32         33         79           54           77                0.016514
       33         48          4           54           77               -0.089981
       34         18         73           54           77                0.031580
       35         48         16           54           77               -0.027977
       36         35         61           54           77                0.010985
       37         20         74           54           77                0.028619
       38         25         92           54           77                0.025626
       39         27         77           54           77                0.021007
       40         19         29           54           77                0.011549
       41         10         58           54           77                0.048550
       42         69         55           54           77               -0.003889
       43         43         65           54           77                0.007643
       44         65         68           54           77                0.000745
       45         64         95           54           77                0.006041
       46         21         71           54           77                0.026546
       47         24         12           54           77               -0.022070
       48         61         46           54           77               -0.005211
       49         46         67           54           77                0.006791
       50         78         36           54           77               -0.014343
       51         67         42           54           77               -0.008628
       52         85         84           54           77               -0.000174
       53         26         62           54           77                0.018466
       54         59         55           54           77               -0.001250
       55         87         27           54           77               -0.022828
       56         32         12           54           77               -0.029327
       57         94         65           54           77               -0.005635
       58         48         64           54           77                0.005196
       59         55         65           54           77                0.002906
       60         55         73           54           77                0.004790
       61         53        100           54           77                0.010067
       62         22         11           54           77               -0.022967
       63         11          7           54           77               -0.019278
       64         41         45           54           77                0.001902
       65         37         77           54           77                0.013540
       66         63         78           54           77                0.003438
       67         94         98           54           77                0.000575
       68         20         14           54           77               -0.011401
       69         70         10           54           77               -0.051721
       70         53         54           54           77                0.000343
       71         87         49           54           77               -0.009595
       72         40         68           54           77                0.009891
       73         75         53           54           77               -0.005891
       74         35         15           54           77               -0.023507
       75         59         27           54           77               -0.016636
       76          5         76           54           77                0.085445
       77         25         45           54           77                0.013568
       78         69         36           54           77               -0.012414
       79         74         40           54           77               -0.011244
       80         69         71           54           77                0.000460
       81         45          2           54           77               -0.134442
       82         34         43           54           77                0.005077
       83         28         20           54           77               -0.009150
       84         83         43           54           77               -0.011490
       85         89         40           54           77               -0.014008
       86         77         40           54           77               -0.011860
       87         81         76           54           77               -0.000970
       88         38         22           54           77               -0.013537
       89         80         95           54           77                0.002485
       90         33         68           54           77                0.014153
       91         44         84           54           77                0.011200
       92         77         17           54           77               -0.034199
       93         87         99           54           77                0.001812
       94         52         89           54           77                0.008799
       95         59         16           54           77               -0.031778
       96         20         41           54           77                0.017895
       97         75         83           54           77                0.001539
       98         79         32           54           77               -0.017233
       99         54          9           54           77               -0.051607
      100         12         14           54           77                0.005531
Вычислено за 1.3375 секунд
